Item Details,,,,,,,Pickup Details,,,,,,,,,Dropoff Details,,,,,,,,,Extra,,
Description *,Weight *,Length,Width,Height,Quantity,Service Type,Address Line 1 *,Address Line 2,Country,Zipcode,From *,To *,Contact Name,Contact Phone,Contact Company,Address Line 1 *,Address Line 2,Country,Zipcode,From *,To *,Contact Name,Contact Phone,Contact Company,External Item ID 1 *,External Item ID 2,External Item ID 3
1 package,5,50,40,40,1,sameday,"34 bustamante st. Corner benin st. Caloocan,Metro Manila~Caloocan,Caloocan City,Barangay 86",Metro Manila-Caloocan,Philippines,,18/06/2021 20:00,18/06/2021 20:30,Audio Image,9175215557,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,18/06/2021 21:00,18/06/2021 21:30,Lazada Tipas Cross-dock,9178058015,,YOJ-10-1623984455767,,
1 package,5,50,40,40,1,sameday,"9th Floor Ablaza Building 117 E. Rodriguez Sr,Brgy Tatalon, Quezon City",Metro Manila-Quezon City,,,18/06/2021 22:00,18/06/2021 22:30,Vtech PH,9276727806,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,18/06/2021 23:00,18/06/2021 23:30,Lazada Tipas Cross-dock,9178058015,,YOJ-11-1623984455767,,
1 package,5,50,40,40,1,sameday,"540 Franciscan St. Sta. Ana Village, Brgy. Sunvalley, Parañaque City, Manila,Metro Manila~Paranaque,Paranaque City,Sun Valley",Metro Manila-Paranaque,,,19/06/2021 00:00,19/06/2021 00:30,The Wholesale Distributor,9159894415,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,19/06/2021 01:00,19/06/2021 01:30,Lazada Tipas Cross-dock,9178058015,,YOJ-12-1623984455767,,
1 package,5,50,40,40,1,sameday,"Unit 11 G/F Newton Plaza No. 4408 Old Sta. Mesa St.,Brgy 592 Zone 58 Sampaloc Manila, Sta. Mesa",Metro Manila~Manila,,,19/06/2021 02:00,19/06/2021 02:30,THM Motorcycles and Accessories,9179386669,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,19/06/2021 03:00,19/06/2021 03:30,Lazada Tipas Cross-dock,9178058015,,YOJ-13-1623984455767,,
1 package,5,50,40,40,1,sameday,785 Panay Street Sampaloc Manila,Metro Manila~Manila,,,19/06/2021 04:00,19/06/2021 04:30,AGP,9178301879,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,19/06/2021 05:00,19/06/2021 05:30,Lazada Tipas Cross-dock,9178058015,,YOJ-14-1623984455767,,
1 package,5,50,40,40,1,sameday,"1745 Dagupan St.,Metro Manila~Manila,Tondo I / Ii,Barangay 53",Metro Manila-Manila,,,19/06/2021 06:00,19/06/2021 06:30,best seller 21,9178793012,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,19/06/2021 07:00,19/06/2021 07:30,Lazada Tipas Cross-dock,9178058015,,YOJ-15-1623984455767,,
1 package,5,50,40,40,1,sameday,"2182 Sobriedad Extension,Metro Manila~Manila,Sampaloc,Barangay 540",Metro Manila-Manila,,,19/06/2021 08:00,19/06/2021 08:30,Trusty Hub,9387892799,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,19/06/2021 09:00,19/06/2021 09:30,Lazada Tipas Cross-dock,9178058015,,YOJ-16-1623984455767,,
1 package,5,50,40,40,1,sameday,"147 Sto. Domingo Ave.,Metro Manila~Quezon City,Quezon City,Manresa",Metro Manila-Quezon City,,,19/06/2021 10:00,19/06/2021 10:30,Madtracks Auto Center,9171521987,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,19/06/2021 11:00,19/06/2021 11:30,Lazada Tipas Cross-dock,9178058015,,YOJ-17-1623984455767,,
1 package,5,50,40,40,1,sameday,"147 Sto. Domingo Ave.,Metro Manila~Quezon City,Quezon City,Manresa",Metro Manila-Quezon City,,,19/06/2021 12:00,19/06/2021 12:30,Madtracks Auto Center,9171521987,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,19/06/2021 13:00,19/06/2021 13:30,Lazada Tipas Cross-dock,9178058015,,YOJ-18-1623984455767,,
1 package,5,50,40,40,1,sameday,"1995 Juan Luna Street C20 Landwealth Condominium Tondo Manila,Metro Manila~Manila,Tondo I / Ii,Barangay 151",Metro Manila-Manila,,,19/06/2021 14:00,19/06/2021 14:30,OfficePro,9175122218,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,19/06/2021 15:00,19/06/2021 15:30,Lazada Tipas Cross-dock,9178058015,,YOJ-19-1623984455767,,
1 package,5,50,40,40,1,sameday,"52 A. Pablo St, Valenzuela, Metro Manila",Metro Manila~Valenzuela,,,19/06/2021 16:00,19/06/2021 16:30,Black worm,9173793256,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,19/06/2021 17:00,19/06/2021 17:30,Lazada Tipas Cross-dock,9178058015,,YOJ-20-1623984455767,,
1 package,5,50,40,40,1,sameday,"2660 Park Avenue,Metro Manila~Pasay,Pasay City,Barangay 30",,,,19/06/2021 18:00,19/06/2021 18:30,Flitch Home,9178499797,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,19/06/2021 19:00,19/06/2021 19:30,Lazada Tipas Cross-dock,9178058015,,YOJ-21-1623984455767,,
1 package,5,50,40,40,1,sameday,"2852 Aurora Boulevard Sta. Cruz Manila,Metro Manila~Manila,Santa Cruz,Barangay 375",Metro Manila-Manila,,,19/06/2021 20:00,19/06/2021 20:30,Juliana's Kotse Abubots,9174443513,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,19/06/2021 21:00,19/06/2021 21:30,Lazada Tipas Cross-dock,9178058015,,YOJ-22-1623984455767,,
1 package,5,50,40,40,1,sameday,"52 A. Pablo St, Valenzuela, Metro Manila",Metro Manila~Valenzuela,,,19/06/2021 22:00,19/06/2021 22:30,Black worm,9173793256,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,19/06/2021 23:00,19/06/2021 23:30,Lazada Tipas Cross-dock,9178058015,,YOJ-23-1623984455767,,
1 package,5,50,40,40,1,sameday,"B7 L1 Alley 6 Dahlia St. Metrocor Homes Almar Subdivision.,Metro Manila~Caloocan,Caloocan City,Barangay 177",Metro Manila-Caloocan,,,20/06/2021 00:00,20/06/2021 00:30,CJZM,9335651112,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,20/06/2021 01:00,20/06/2021 01:30,Lazada Tipas Cross-dock,9178058015,,YOJ-24-1623984455767,,
1 package,5,50,40,40,1,sameday,500-A Altura St. Barangay 576 Sta. Mesa Sampaloc Manila,Metro Manila-Manila,,,20/06/2021 02:00,20/06/2021 02:30,HOMU Appliance Outlet,9255546537,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,20/06/2021 03:00,20/06/2021 03:30,Lazada Tipas Cross-dock,9178058015,,YOJ-25-1623984455767,,
1 package,5,50,40,40,1,sameday,"15 Hernandez St. SFDM Quezon City,Metro Manila~Quezon City,Quezon City,Paltok",Metro Manila-Quezon City,,,20/06/2021 04:00,20/06/2021 04:30,Getha,9178367890,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,20/06/2021 05:00,20/06/2021 05:30,Lazada Tipas Cross-dock,9178058015,,YOJ-26-1623984455767,,
1 package,5,50,40,40,1,sameday,500-A Altura St. Barangay 576 Sta. Mesa Sampaloc Manila,Metro Manila-Manila,,,20/06/2021 06:00,20/06/2021 06:30,HOMU Appliance Outlet,9255546537,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,20/06/2021 07:00,20/06/2021 07:30,Lazada Tipas Cross-dock,9178058015,,YOJ-27-1623984455767,,
1 package,5,50,40,40,1,sameday,#1 G. Molino Street,Metro Manila~Valenzuela,,,20/06/2021 08:00,20/06/2021 08:30,Getha,9959245071,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,20/06/2021 09:00,20/06/2021 09:30,Lazada Tipas Cross-dock,9178058015,,YOJ-28-1623984455768,,
1 package,5,50,40,40,1,sameday,"168 SHOPPING MALL 1K20.SOLER ST.BINNONDO MANILA.barangay 293. Binondo metro Manila 1006,Metro Manila~Manila,Binondo,Barangay 293",Metro Manila-Manila,,,20/06/2021 10:00,20/06/2021 10:30,lucky grass fashion wear,9165388866,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,20/06/2021 11:00,20/06/2021 11:30,Lazada Tipas Cross-dock,9178058015,,YOJ-29-1623984455768,,
1 package,5,50,40,40,1,sameday,"3 ilang ilang street karuhatan, valenzuela city,Metro Manila~Valenzuela,Valenzuela City,Karuhatan",Metro Manila-Valenzuela,,,20/06/2021 12:00,20/06/2021 12:30,PSCF General Merchandise,9394167121,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,20/06/2021 13:00,20/06/2021 13:30,Lazada Tipas Cross-dock,9178058015,,YOJ-30-1623984455768,,
1 package,5,50,40,40,1,sameday,"540 Franciscan St. Sta. Ana Village, Brgy. Sunvalley, Parañaque City, Manila,Metro Manila~Paranaque,Paranaque City,Sun Valley",Metro Manila-Paranaque,,,20/06/2021 14:00,20/06/2021 14:30,The Wholesale Distributor,9159894415,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,20/06/2021 15:00,20/06/2021 15:30,Lazada Tipas Cross-dock,9178058015,,YOJ-31-1623984455768,,
1 package,5,50,40,40,1,sameday,"New Wealth Properties Compound, 3270C Merville Access Road (Armstrong Road), Merville Park, Barangay 201 Kalayaan, Pasay City, Metro Manila, PH",Metro Manila-Pasay,,,20/06/2021 16:00,20/06/2021 16:30,AKTIVE SPORTS,9175592647,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,20/06/2021 17:00,20/06/2021 17:30,Lazada Tipas Cross-dock,9178058015,,YOJ-32-1623984455768,,
1 package,5,50,40,40,1,sameday,"1h 07 168 shopping mall building 2 binondo Manila,Metro Manila~Manila,Binondo,Barangay 293",Metro Manila-Manila,,,20/06/2021 18:00,20/06/2021 18:30,Aimee cheng,9164728333,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,20/06/2021 19:00,20/06/2021 19:30,Lazada Tipas Cross-dock,9178058015,,YOJ-33-1623984455768,,
1 package,5,50,40,40,1,sameday,35A mc Arthur Highway,Metro Manila~Malabon,,,20/06/2021 20:00,20/06/2021 20:30,Malachi,9494435961,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,20/06/2021 21:00,20/06/2021 21:30,Lazada Tipas Cross-dock,9178058015,,YOJ-34-1623984455768,,
1 package,5,50,40,40,1,sameday,"#882 Unit o33 Capistrano St.,Metro Manila~Taguig,Taguig City,Ibayo~Tipas",Metro Manila-Taguig,,,20/06/2021 22:00,20/06/2021 22:30,BaratPH General Merchandise,9125704965,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,20/06/2021 23:00,20/06/2021 23:30,Lazada Tipas Cross-dock,9178058015,,YOJ-35-1623984455768,,
1 package,5,50,40,40,1,sameday,"206 Don Juan santos Bldg. Quezon Blvd Brgy. 384 zone 39 Quiapo Manila,Metro Manila~Manila,Quiapo,Barangay 384",Metro Manila-Manila,,,21/06/2021 00:00,21/06/2021 00:30,MEGAJMS,9562505076,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,21/06/2021 01:00,21/06/2021 01:30,Lazada Tipas Cross-dock,9178058015,,YOJ-36-1623984455768,,
1 package,5,50,40,40,1,sameday,"B7 L1 Alley 6 Dahlia St. Metrocor Homes Almar Subdivision.,Metro Manila~Caloocan,Caloocan City,Barangay 177",Metro Manila-Caloocan,,,21/06/2021 02:00,21/06/2021 02:30,CJZM,9335651112,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,21/06/2021 03:00,21/06/2021 03:30,Lazada Tipas Cross-dock,9178058015,,YOJ-37-1623984455768,,
1 package,5,50,40,40,1,sameday,35A mc Arthur Highway,Metro Manila~Malabon,,,21/06/2021 04:00,21/06/2021 04:30,Hello Baby,9175977777,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,21/06/2021 05:00,21/06/2021 05:30,Lazada Tipas Cross-dock,9178058015,,YOJ-38-1623984455768,,
1 package,5,50,40,40,1,sameday,"49 Assistant St. GSIS Village Project 8,Metro Manila~Quezon City,Quezon City,Bahay Toro",Metro Manila-Quezon City,,,21/06/2021 06:00,21/06/2021 06:30,BabySM Shop2,9163181643,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,21/06/2021 07:00,21/06/2021 07:30,Lazada Tipas Cross-dock,9178058015,,YOJ-39-1623984455768,,
1 package,5,50,40,40,1,sameday,"KLG Bldg. Delbros Ave cor. Venicia De Leon St. Brgy. Ibayo, Paranaque City",Metro Manila-Paranaque,,,21/06/2021 08:00,21/06/2021 08:30,Arcopal Philippines,9061690876,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,21/06/2021 09:00,21/06/2021 09:30,Lazada Tipas Cross-dock,9178058015,,YOJ-40-1623984455768,,
1 package,5,50,40,40,1,sameday,"540 Franciscan St. Sta. Ana Village, Brgy. Sunvalley, Parañaque City, Manila,Metro Manila~Paranaque,Paranaque City,Sun Valley",Metro Manila-Paranaque,,,21/06/2021 10:00,21/06/2021 10:30,The Wholesale Distributor,9159894415,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,21/06/2021 11:00,21/06/2021 11:30,Lazada Tipas Cross-dock,9178058015,,YOJ-41-1623984455768,,
1 package,5,50,40,40,1,sameday,"34 bustamante st. Corner benin st. Caloocan,Metro Manila~Caloocan,Caloocan City,Barangay 86",Metro Manila-Caloocan,Philippines,,21/06/2021 12:00,21/06/2021 12:30,Audio Image,9175215557,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,21/06/2021 13:00,21/06/2021 13:30,Lazada Tipas Cross-dock,9178058015,,YOJ-42-1623984455768,,
1 package,5,50,40,40,1,sameday,"2nd Floor Arranque Building 1388 CM Recto Ave. corner Teodora Alonzo St., Sta. Cruz, Manila (same building with Mercury Drug and Western Appliances)",Metro Manila~Manila,,,21/06/2021 14:00,21/06/2021 14:30,GIGATOOLS INDUSTRIAL CENTER,9173058367,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,21/06/2021 15:00,21/06/2021 15:30,Lazada Tipas Cross-dock,9178058015,,YOJ-43-1623984455768,,
1 package,5,50,40,40,1,sameday,"3rd floor 748 Caballeros st. Binondo Manila,Metro Manila~Manila,San Nicolas,Barangay 282",Metro Manila-Manila,,,21/06/2021 16:00,21/06/2021 16:30,well-come shop,9176117789,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,21/06/2021 17:00,21/06/2021 17:30,Lazada Tipas Cross-dock,9178058015,,YOJ-44-1623984455768,,
1 package,5,50,40,40,1,sameday,"room504.716 republic supermarkets bldg.rizal ave era cruz manila barangay 304,santa cruz merto manila,1003",Metro Manila~Manila,,,21/06/2021 18:00,21/06/2021 18:30,pink pig.ph,9053598894,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,21/06/2021 19:00,21/06/2021 19:30,Lazada Tipas Cross-dock,9178058015,,YOJ-45-1623984455768,,
1 package,5,50,40,40,1,sameday,"1H-07 168 shopping mall soler st brgy 293 zone 28 binondo manila,Metro Manila~Manila,Binondo,Barangay 293",Metro Manila-Manila,,,21/06/2021 20:00,21/06/2021 20:30,ivan cheng 01,9776041840,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,21/06/2021 21:00,21/06/2021 21:30,Lazada Tipas Cross-dock,9178058015,,YOJ-46-1623984455768,,
1 package,5,50,40,40,1,sameday,"540 Franciscan St. Sta. Ana Village, Brgy. Sunvalley, Parañaque City, Manila,Metro Manila~Paranaque,Paranaque City,Sun Valley",Metro Manila-Paranaque,,,21/06/2021 22:00,21/06/2021 22:30,The Wholesale Distributor,9159894415,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,21/06/2021 23:00,21/06/2021 23:30,Lazada Tipas Cross-dock,9178058015,,YOJ-47-1623984455768,,
1 package,5,50,40,40,1,sameday,"room504.716 republic supermarkets bldg.rizal ave era cruz manila barangay 304,santa cruz merto manila,1003",Metro Manila~Manila,,,22/06/2021 00:00,22/06/2021 00:30,pink pig.ph,9053598894,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,22/06/2021 01:00,22/06/2021 01:30,Lazada Tipas Cross-dock,9178058015,,YOJ-48-1623984455768,,
1 package,5,50,40,40,1,sameday,"Suite 303 3rd Floor Singson Building, Plaza Moraga, Binondo, Manila Manila City, 1006 Philippines",Metro Manila - Binondo,,,22/06/2021 02:00,22/06/2021 02:30,TammyStore,9328833086,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,22/06/2021 03:00,22/06/2021 03:30,Lazada Tipas Cross-dock,9178058015,,YOJ-49-1623984455768,,
1 package,5,50,40,40,1,sameday,"211-A Leas Building Katipunan Avenue, Brgy Blue Bridge",Metro Manila~Quezon City,,,22/06/2021 04:00,22/06/2021 04:30,PTT Lubricants Oil,6327992536,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,22/06/2021 05:00,22/06/2021 05:30,Lazada Tipas Cross-dock,9178058015,,YOJ-50-1623984455768,,
1 package,5,50,40,40,1,sameday,TestAddress_4,Metro Manila-Quezon City,,,22/06/2021 06:00,22/06/2021 06:30,US Original Hardware and Construction Supplies Inc,9178367890,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,22/06/2021 07:00,22/06/2021 07:30,Lazada Tipas Cross-dock,9178058015,,YOJ-51-1623984455768,,
1 package,5,50,40,40,1,sameday,"9th Floor Ablaza Building 117 E. Rodriguez Sr,Brgy Tatalon, Quezon City",Metro Manila-Quezon City,,,22/06/2021 08:00,22/06/2021 08:30,Vtech PH,9276727806,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,22/06/2021 09:00,22/06/2021 09:30,Lazada Tipas Cross-dock,9178058015,,YOJ-52-1623984455768,,
1 package,5,50,40,40,1,sameday,"206 Don Juan santos Bldg. Quezon Blvd Brgy. 384 zone 39 Quiapo Manila,Metro Manila~Manila,Quiapo,Barangay 384",Metro Manila-Manila,,,22/06/2021 10:00,22/06/2021 10:30,MEGAJMS,9562505076,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,22/06/2021 11:00,22/06/2021 11:30,Lazada Tipas Cross-dock,9178058015,,YOJ-53-1623984455768,,
1 package,5,50,40,40,1,sameday,785 Panay Street Sampaloc Manila,Metro Manila~Manila,,,22/06/2021 12:00,22/06/2021 12:30,AGP,9178301879,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,22/06/2021 13:00,22/06/2021 13:30,Lazada Tipas Cross-dock,9178058015,,YOJ-54-1623984455768,,
1 package,5,50,40,40,1,sameday,"540 Franciscan St. Sta. Ana Village, Brgy. Sunvalley, Parañaque City, Manila,Metro Manila~Paranaque,Paranaque City,Sun Valley",Metro Manila-Paranaque,,,22/06/2021 14:00,22/06/2021 14:30,The General Hub,9451945749,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,22/06/2021 15:00,22/06/2021 15:30,Lazada Tipas Cross-dock,9178058015,,YOJ-55-1623984455768,,
1 package,5,50,40,40,1,sameday,"15 Hernandez St. SFDM Quezon City,Metro Manila~Quezon City,Quezon City,Paltok",Metro Manila-Quezon City,,,22/06/2021 16:00,22/06/2021 16:30,Getha,9178367890,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,22/06/2021 17:00,22/06/2021 17:30,Lazada Tipas Cross-dock,9178058015,,YOJ-56-1623984455768,,
1 package,5,50,40,40,1,sameday,"143 Puso Street Coloong I, Valenzuela City,Metro Manila~Valenzuela,Valenzuela City,Coloong",Metro Manila-Valenzuela,,,22/06/2021 18:00,22/06/2021 18:30,grandera,9672231085,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,22/06/2021 19:00,22/06/2021 19:30,Lazada Tipas Cross-dock,9178058015,,YOJ-57-1623984455768,,
1 package,5,50,40,40,1,sameday,"906 Sabino Padilla street, Branagay 295 zone 28 , binondo Manila,Metro Manila~Manila,Binondo,Barangay 295",Metro Manila-Manila,,,22/06/2021 20:00,22/06/2021 20:30,BHMarketing000,9388025622,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,22/06/2021 21:00,22/06/2021 21:30,Lazada Tipas Cross-dock,9178058015,,YOJ-58-1623984455768,,
1 package,5,50,40,40,1,sameday,6A Dama De Noche St. UPSN Comp. Brgy. Marcelo Green Sucat Paranaque,Metro Manila-Paranaque,,,22/06/2021 22:00,22/06/2021 22:30,X-One,9055684916,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,22/06/2021 23:00,22/06/2021 23:30,Lazada Tipas Cross-dock,9178058015,,YOJ-59-1623984455768,,
1 package,5,50,40,40,1,sameday,"281 H. San Fernando St. Binondo Manila,Metro Manila~Manila,San Nicolas,Barangay 284",Metro Manila-Manila,,,23/06/2021 00:00,23/06/2021 00:30,Style Loft,9175428859,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,23/06/2021 01:00,23/06/2021 01:30,Lazada Tipas Cross-dock,9178058015,,YOJ-60-1623984455768,,
1 package,5,50,40,40,1,sameday,"1h 07 168 shopping mall building 2 binondo Manila,Metro Manila~Manila,Binondo,Barangay 293",Metro Manila-Manila,,,23/06/2021 02:00,23/06/2021 02:30,Aimee cheng,9164728333,,"Katurian Rd, corner Mabato, Taguig, Metro Manila, Philippines",Taguig City,Philippines,,23/06/2021 03:00,23/06/2021 03:30,Lazada Tipas Cross-dock,9178058015,,YOJ-61-1623984455768,,
